,listing_id,5_stars,availability_365,borough,host_id,host_name,is_rated,last_review,latitude,longitude,name,neighbourhood,number_of_reviews,number_of_stays,reviews_per_month,room_type,price,rating,listing_added
10,17092,0.6866449351611053,88,Manhattan,66243,Enzo,1,2019-06-01,40.76342,-73.98865,Cool Room in Hell's Kitchen, Hell's Kitchen,23,27.6,0.43,Private Room,51.0,3.4186339535262094,2018-11-26
11,18764,0.7141883130020319,238,Brooklyn,72014,Lulú,1,2019-04-22,40.71154,-73.96112,Cozy 2 BR in Williamsburg , Williamsburg,61,73.2,0.54,Private Room,145.0,4.333950978998889,2018-10-17
12,19282,0.6549634329088398,38,Brooklyn,73469,Gaia,1,2019-06-15,40.65401,-73.96323000000002,"Sunny, Spacious Top Floor Haven", Flatbush,16,19.2,0.15,entire place,130.0,3.694795866803593,2018-12-10
13,20734,0.7482829858252198,207,Brooklyn,78460,Sean & Lynette,1,2019-06-27,40.68233,-73.97261,Spacious Prospect Heights Apartment, Prospect Heights,166,199.2,3.4,entire place,131.0,4.236907397869558,2018-12-22
14,22918,0.7676978515036037,219,Manhattan,32294,Ssameer Or Trip,1,2019-01-03,40.82279000000001,-73.95139,loft bed - near transportation-15min to times sq, Harlem,11,13.2,0.87,Private Room,60.0,3.5506057105982656,2018-06-30
15,23135,0.7126037901761311,342,Brooklyn,11481,Annette,1,2019-06-24,40.67967,-74.00154,House On Henry (3rd FLR Suite), Carroll Gardens,233,279.6,2.09,entire place,175.0,3.449480304173244,2018-12-19
16,26362,0.6971990403238434,279,Manhattan,59734,Luiz,1,2019-06-16,40.75527,-73.99291,"Times Square, Safe, Clean and Cozy!", Hell's Kitchen,334,400.8,3.0,Private Room,59.0,3.3712178749014114,2018-12-11
17,26954,0.6210363187639506,260,Manhattan,115157,Nimo,1,2015-12-02,40.74294,-73.98009,NYC fabulous views Manhattan's eye, Kips Bay,38,45.6,0.38,entire place,199.0,3.272898419411292,2015-05-29
18,28907,0.7411141957697651,189,Manhattan,124352,Lisa,1,2017-08-15,40.778,-73.94821999999998,Garden studio in the Upper East Sid, Upper East Side,21,25.2,0.19,entire place,150.0,3.221713161413902,2017-02-09
19,29455,0.7625712112624013,213,Manhattan,126607,Laurine,1,2019-06-20,40.81618,-73.94894000000002,ACCOMMODATIONS GALORE #1, Harlem,155,186.0,1.42,entire place,120.0,3.8392880064220014,2018-12-15
20,31902,0.6016331412373969,178,Brooklyn,137292,Sunder,1,2019-01-01,40.63188,-73.93248,Sanctuary in East Flatbush, Flatlands,2,2.4,0.02,Private Room,77.0,4.584075790372403,2018-06-28
21,36133,0.6311508419038152,1,Brooklyn,142684,White,1,2019-06-13,40.71536,-73.96056999999998,Classic Artist Loft Williamsburg, Williamsburg,155,186.0,1.61,Private Room,125.0,3.2306310523678694,2018-12-08
22,36442,0.7150382061691959,269,Brooklyn,137432,Paz,1,2018-08-27,40.6741,-73.96595,Great location. Spacious on PROSPECT PARK, Prospect Heights,4,4.8,0.05,entire place,115.0,4.8382601095655975,2018-02-21
23,36934,0.6914933093696709,189,Brooklyn,159370,Viviana,1,2018-12-27,40.71363,-73.96398,Great location in Williamsburg, Williamsburg,27,32.4,0.25,entire place,125.0,4.189716625942056,2018-06-23
24,38638,0.6656492620800232,290,Manhattan,92788,Sara,1,2019-06-26,40.77711,-73.9527,Light and Airy Upper East Side 1 BDR apartment, Upper East Side,126,151.2,1.16,entire place,219.0,3.266119214724572,2018-12-21
25,39267,0.7687067922764848,164,Manhattan,168417,Marie,1,2019-06-08,40.77456,-73.95323,CENTRAL PARK LOFT all for YOU, Upper East Side,234,280.8,2.6,entire place,99.0,3.844195775359791,2018-12-03
26,39282,0.6868945527244062,53,Brooklyn,168525,Gus,1,2019-05-28,40.71088,-73.95055,Indie-Chic Share In Williamsburg, Williamsburg,202,242.4,1.86,Private Room,69.0,3.1419164004583022,2018-11-22
27,41348,0.6483542742875179,0,Brooklyn,180083,Syl,1,2019-07-06,40.66858,-73.99083,* Spacious GARDEN Park Slope Duplex* 6 people max, Gowanus,80,96.0,2.17,entire place,250.0,4.387169323161423,2018-12-31
28,44096,0.8821329768137283,353,Bronx,190409,Waundell,1,2019-07-04,40.83232,-73.93184000000002,Room with a View, Highbridge,219,262.8,2.04,Private Room,40.0,4.633761905723809,2018-12-29
29,44161,0.9242208090460514,177,Brooklyn,193360,Young,1,2016-07-06,40.71045,-73.9677,Light+Open+Airy+Rustic+Modern Loft, Williamsburg,193,231.6,1.78,entire place,150.0,4.781040798315485,2016-01-01
30,44212,0.7400432390217935,310,Manhattan,72062,Bruce,1,2019-06-23,40.72518,-73.98034,West Inn 2 - East Village, East Village,84,100.8,0.78,Private Room,125.0,3.1952032711668865,2018-12-18
31,44288,0.9317657027646796,246,Manhattan,193637,Sara,1,2019-06-01,40.73756,-74.00405,Your own Lovely West Village Studio, West Village,86,103.2,0.8,entire place,170.0,4.710234640252646,2018-11-26
32,46723,0.9294718345711094,343,Brooklyn,209460,Marylyn,1,2019-05-19,40.67992,-73.9475,SAFE  AND BEAUTIFUL ACCOMODATION, Bedford-Stuyvesant,126,151.2,1.17,Private Room,90.0,4.602396326064836,2018-11-13
33,46911,0.655792065199995,250,Brooklyn,210746,Kathleen R.,1,2019-06-24,40.67868,-73.97306999999998,Large Room in private Brownstone in Park Slope, Prospect Heights,51,61.2,0.48,Private Room,120.0,4.4877416396806025,2018-12-19
34,47199,0.7377506498088475,326,Manhattan,212722,Teresa,1,2019-06-24,40.76834,-73.95334,"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)", Upper East Side,199,238.8,1.85,Private Room,75.0,3.714769477348349,2018-12-19
35,51572,0.7523739436693043,328,Manhattan,237329,Lee,1,2019-06-18,40.74859,-73.99671,Prime Location in Manhattan, Chelsea,375,450.0,3.52,Private Room,123.0,3.452124065198884,2018-12-13
36,51850,0.6747824199483918,365,Queens,27848,Jullett,1,2019-05-20,40.67252,-73.76597,( F) Excellent/Pvt Rm, Jamaica,52,62.4,0.49,Private Room,55.0,3.4596678027338585,2018-11-14
37,53469,0.8890405591039415,240,Queens,204539,Mark,1,2015-05-09,40.71722000000001,-73.87856,cozy studio with parking spot, Middle Village,33,39.6,0.31,entire place,98.0,4.551888346783387,2014-11-03
38,54453,0.7245443728578248,363,Manhattan,255583,Anka,1,2014-01-07,40.76548,-73.98474,MIDTOWN WEST - Large alcove studio, Hell's Kitchen,10,12.0,0.09,Shared Room,105.0,3.3244690227208,2013-07-04
39,54626,0.7664717093613256,323,Bronx,190409,Waundell,1,2019-06-30,40.83075,-73.93058,Cozy bedroom by Yankee Stadium, Highbridge,138,165.6,1.45,Private Room,45.0,4.208229846325271,2018-12-25
40,55737,0.7083497687713779,286,Manhattan,263414,Pete,1,2019-05-19,40.72861,-74.0049,Sleek & Comfortable Soho Apt, West Village,129,154.79999999999995,1.22,entire place,199.0,3.8908097412893095,2018-11-13
41,57297,0.8268853305544418,279,Brooklyn,199392,S.M.,1,2019-06-24,40.68926,-73.99386,"Clean & bright 1BR in Cobble Hill, GREAT location!", Cobble Hill,222,266.4,2.12,entire place,159.0,4.526295505128666,2018-12-19
42,57618,0.6870411934725159,3,Manhattan,274557,Ana,1,2019-06-09,40.7672,-73.98508000000002,"Great new apt, close to everything", Hell's Kitchen,94,112.8,0.96,entire place,250.0,4.416985749971115,2018-12-04
43,58059,0.8168378240350501,258,Manhattan,277379,Agnes,1,2019-07-03,40.8251,-73.94287,PRIVATE Room on Historic Sugar Hill, Harlem,458,549.6,4.58,Private Room,60.0,4.74868227562241,2018-12-28
44,59709,0.9213109001817312,265,Manhattan,186084,Ricardo & Ashlie,1,2019-07-01,40.71756,-73.99503,"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5", Chinatown,18,21.6,0.18,entire place,250.0,4.94801904902859,2018-12-26
45,60457,0.8926075879165114,91,Manhattan,99212,Jessica,1,2019-05-11,40.73194,-73.99474000000002,Spacious Greenwich Village Apt, Greenwich Village,10,12.0,0.1,entire place,225.0,4.809973683101163,2018-11-05
46,60680,0.8194609124625247,320,Manhattan,292630,Mich,1,2019-06-20,40.72654,-73.98049,The gem of the East Village, East Village,127,152.4,1.22,entire place,99.0,4.763497979533208,2018-12-15
47,61167,0.9007900225966702,0,Manhattan,295760,Greta,1,2015-12-12,40.71961,-73.9954,Colorful Private One Bedroom Apt, Little Italy,21,25.2,0.2,entire place,135.0,4.993544206918365,2015-06-08
48,61492,0.6081478726231472,353,Manhattan,297769,Tunji,1,2019-06-23,40.71445,-73.9908,Exclusive Room with Private Bath in  LES, Chinatown,171,205.2,1.8,Private Room,120.0,3.805058639696744,2018-12-18
49,62095,0.7321227407336746,2,Brooklyn,281764,Colette&Sean,1,2019-06-14,40.64446,-73.9503,BK Sweet Suite w/Kitchen&FullBath, East Flatbush,238,285.6,2.3,entire place,65.0,3.884449483471848,2018-12-09
50,62430,0.8737165798858384,68,Brooklyn,197755,Sheila,1,2019-06-22,40.688,-73.9171,BROWNSTONE SUNDRENCHED BEAUTY, Bushwick,111,133.2,2.13,entire place,99.0,4.685604990898781,2018-12-17
51,62452,0.6065915267904168,360,Staten Island,303939,Lissette,1,2019-06-25,40.63536,-74.08537,A SpeciaL!! Private Room in NY, Tompkinsville,193,231.6,1.85,Private Room,36.0,3.9519408767763338,2018-12-20
52,63299,0.7482961250441956,15,Brooklyn,308875,Scott,1,2019-06-23,40.70763,-73.95177,BROOKLYN > Guest Room w/ Queen Bed in Williamsburg, Williamsburg,181,217.2,1.77,Private Room,59.0,4.238724848188623,2018-12-18
53,63320,0.703165619856563,340,Staten Island,303939,Lissette,1,2019-07-02,40.63481,-74.08519,D Private Che@p Room 2 Explore NYC, Tompkinsville,333,399.6,3.19,Private Room,36.0,3.0438629959742465,2018-12-27
54,63546,0.7029834746989051,365,Brooklyn,308652,Antonín,1,2019-05-16,40.64106,-73.97426,Large and Cozy Private Bedroom, Kensington,45,54.0,0.46,Private Room,39.0,3.9644776101239314,2018-11-10
55,63588,0.0,349,Bronx,295128,Carol Gloria,0,,40.81309,-73.85514,LL3, Clason Point,0,0.0,0.0,Private Room,90.0,,2018-04-15
56,65268,0.8309466208482115,68,Brooklyn,319092,Juhli,1,2019-01-05,40.68276,-73.95264,Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn, Bedford-Stuyvesant,64,76.8,0.67,Private Room,75.0,4.842615116611602,2018-07-02
57,65834,0.7172480846051065,246,Brooklyn,321934,Jessica,1,2013-05-02,40.67319000000001,-73.97323,Beautiful 1 Bedroom Apt Park Slope, Park Slope,11,13.2,0.11,entire place,175.0,4.18545313993853,2012-10-27
58,66008,0.6064062551374374,288,Brooklyn,322884,Melissa,1,2019-07-01,40.67846,-73.99443000000002,CHARMING CARROLL GARDENS APT., Carroll Gardens,51,61.2,0.57,entire place,190.0,3.0098760508387388,2018-12-26
59,67299,0.6167071207710408,42,Brooklyn,330347,Adrienne,1,2019-05-06,40.71492,-73.96282,Cozy Garden Apartment  in Williamsburg, Williamsburg,56,67.2,0.56,entire place,135.0,4.310927806439574,2018-10-31
60,68765,0.8283371129568357,272,Brooklyn,282655,Jenna,1,2019-06-27,40.67817,-73.99495,Designer 2.5 BR Loft in Carroll Gardens by Subway, Carroll Gardens,106,127.2,1.34,entire place,250.0,4.99484147652454,2018-12-22
61,68974,0.7014656475643994,298,Manhattan,281229,Alicia,1,2019-06-20,40.71943,-73.99627,Unique spacious loft on the Bowery, Little Italy,191,229.2,1.88,entire place,575.0,3.734468934947306,2018-12-15
62,70609,0.8489302441548464,297,Manhattan,72062,Bruce,1,2019-06-16,40.72542,-73.97986,Great Large 3 BR/2 Bath Duplex with Private Patio!, East Village,48,57.6,0.48,entire place,500.0,4.682434576382357,2018-12-11
63,74860,0.6073394104464007,0,Brooklyn,394752,Allison,1,2011-03-28,40.72488,-73.95018,"Sunlit and Cozy Williamsburg/Greenpoint, Brooklyn", Greenpoint,1,1.2,0.01,Private Room,55.0,4.526023667300825,2010-09-22
64,80493,0.8556736433463447,200,Manhattan,434987,Jennifer,1,2019-07-04,40.72329000000001,-73.98486,Cozy room in East Village with AC, East Village,182,218.4,1.81,Private Room,71.0,4.600766248247451,2018-12-29
65,80700,0.7480501357840978,60,Brooklyn,417504,The Box House Hotel,1,2019-05-24,40.73738,-73.95482,Loft w/ Terrace @ Box House Hotel, Greenpoint,7,8.4,0.07,Private Room,349.0,4.325147790111398,2018-11-18
66,80924,0.8307847803692328,189,Brooklyn,438133,Ellis,1,2018-09-25,40.67542,-73.98142,Spacious 3 Bedroom Duplex in Park Slope, Park Slope,34,40.8,0.51,entire place,163.0,4.51292995537694,2018-03-22
67,81739,0.6620837539690396,60,Brooklyn,417504,The Box House Hotel,1,2011-05-12,40.73842,-73.95312,Loft w/ Terrace @ Box House Hotel, Greenpoint,2,2.4,0.02,Private Room,249.0,4.168382639566047,2010-11-06
68,82550,0.7775897050135963,106,Brooklyn,448312,Christopher,1,2019-06-30,40.69441,-73.99771,Columbia Castle 2 BR, Brooklyn Heights,80,96.0,0.85,entire place,200.0,4.457997952799024,2018-12-25
69,82928,0.7370280856886278,248,Brooklyn,451545,Ruthven,1,2019-07-02,40.6824,-73.94615,BEAUTIFUL 2 BEDROOM APARTMENT, Bedford-Stuyvesant,46,55.2,1.07,entire place,185.0,4.385454655530118,2018-12-27
70,84659,0.6974479661762888,142,Manhattan,462776,Kyle,1,2019-06-26,40.72843,-73.98895,Large Studio--Heart of East Village, East Village,388,465.6,3.88,entire place,139.0,3.3228191863419854,2018-12-21
71,89621,0.8786935332222819,324,Brooklyn,209460,Marylyn,1,2019-06-28,40.68048,-73.94911,"WONDERFUL, COMFORTABLE STUDIO", Bedford-Stuyvesant,218,261.6,2.26,entire place,90.0,4.701421154649065,2018-12-23
72,94783,0.9034282018053412,272,Brooklyn,473113,Keishera,1,2019-06-21,40.67174,-73.95663,"Beautiful, Bright’s, Warm & Spacious 1.5BR Apt", Crown Heights,104,124.8,1.04,entire place,120.0,4.6122863544016734,2018-12-16
73,95747,0.9379620982632122,0,Brooklyn,509341,Tessa,1,2016-07-18,40.71055,-73.95098,Lovely 1BR in Tree-lined WBurg, Williamsburg,13,15.6,0.13,entire place,140.0,4.6000464619468,2016-01-13
74,95883,0.6820618605592585,9,Brooklyn,509918,Eduardo,1,2018-12-26,40.69465,-73.95458,Spacious Loft in Clinton Hill, Bedford-Stuyvesant,4,4.8,0.07,entire place,200.0,4.2249932476442815,2018-06-22
75,98663,0.6867370247279548,189,Manhattan,520279,Peter Michael,1,2018-06-11,40.74893,-73.99544,Groovy NYC Chelsea Pad, Chelsea,19,22.8,0.19,entire place,130.0,3.641757564622607,2017-12-06
76,107630,0.831837278675261,274,Brooklyn,306739,Maya,1,2019-06-20,40.72911,-73.95493,Sweet Historic Greenpoint Duplex, Greenpoint,248,297.6,2.53,entire place,175.0,4.606692905079078,2018-12-15
77,110739,0.6095523116739392,98,Manhattan,568568,Driss,1,2019-07-03,40.74503,-73.98876,"Very Central, Nomad/Chelsea Loft Studio", Midtown,54,64.8,0.57,entire place,169.0,4.131839881539646,2018-12-28
78,114123,0.7042024789054322,223,Brooklyn,579495,Susi,1,2019-05-19,40.66527,-73.9886,Large Park Slope Townhouse Duplex, South Slope,27,32.4,0.28,entire place,199.0,3.0090417559788345,2018-11-13
79,118430,0.7396607069610823,20,Manhattan,585458,Paul,1,2019-01-03,40.74412,-74.00208,Heart of Meatpacking & Chelsea, Chelsea,35,42.0,0.36,Private Room,290.0,3.4515578685306485,2018-06-30
80,120362,0.8605025502661808,331,Brooklyn,138069,Itamar,1,2019-07-02,40.70665,-73.94060999999998,Williamsburg apartment right by the subway, Williamsburg,50,60.0,0.51,entire place,190.0,4.6691384779722735,2018-12-27
81,125053,0.7827226225363808,170,Manhattan,622460,Justin,1,2019-07-01,40.72533,-73.99143000000002,⚡Quiet Gem w/roof deck on NY's Hottest Street⚡, East Village,70,84.0,0.73,entire place,395.0,3.012407021238664,2018-12-26
82,132516,0.9257485834237876,209,Queens,85330,Jean,1,2019-07-01,40.70925,-73.85262,Forest Hills Apt minutes to midtown Manhattan, Forest Hills,28,33.6,1.21,entire place,97.0,4.968478749375286,2018-12-26
83,140133,0.638661504678401,277,Brooklyn,622866,Daniel,1,2019-07-05,40.71363,-73.96019,Truly Amazing Oasis In The City, Williamsburg,150,180.0,1.55,entire place,249.0,3.2018268871134685,2018-12-30
84,140973,0.6258145603439645,233,Manhattan,686147,Dave,1,2019-05-26,40.72274,-73.97581,"East Village, King-Sized, Charmer", East Village,69,82.8,0.71,entire place,185.0,3.4432010857670288,2018-11-20
85,141154,0.6488093456951738,221,Brooklyn,686768,Mark,1,2019-06-22,40.6858,-73.9828,Affordable Furnished Apartment, Boerum Hill,232,278.4,2.41,entire place,120.0,3.3924317689505084,2018-12-17
86,141890,0.880402303225,0,Manhattan,689661,Allison,1,2013-10-01,40.72255,-73.99346,LUXURY SOHO 2 Bedroom Apt , Nolita,18,21.6,0.21,entire place,375.0,4.946976337575464,2013-03-28
87,158290,0.6652865565124338,365,Brooklyn,759583,Pepe,1,2019-05-20,40.68288,-73.96024,Clinton Hill + Free Coffee = #smile, Clinton Hill,43,51.6,0.44,Private Room,75.0,3.071099306293253,2018-11-14
88,158955,0.8573438420442416,222,Brooklyn,465589,Amia,1,2019-06-29,40.70867,-73.94284,PRIVATE and SUNNY Williamsburg Apt!, Williamsburg,385,462.0,4.0,entire place,139.0,4.956819367701269,2018-12-24
89,160994,0.8180143295615372,235,Manhattan,770831,James,1,2019-06-24,40.72972,-73.97995,In the heart of East Village, East Village,103,123.6,1.08,entire place,200.0,4.865534843428787,2018-12-19
90,161366,0.7160959281339091,246,Queens,733894,Lucy,1,2019-06-01,40.74102,-73.91681,Sunny 15min to Manhattan LADY only, Sunnyside,41,49.2,0.43,Private Room,42.0,3.615572731275844,2018-11-26
91,161394,0.6517549194415043,0,Brooklyn,772300,Alain,1,2014-08-31,40.71309,-73.94128,Surfer room 15mins to downtown NYC!, Williamsburg,3,3.6,0.03,Private Room,90.0,3.112799375834996,2014-02-25
92,162493,0.8149609028363043,15,Brooklyn,776490,Andres,1,2018-12-27,40.71323,-73.95745,Prime Williamsburg 3 BR with Deck, Williamsburg,37,44.4,0.79,entire place,450.0,4.978490645476229,2018-06-23
93,163809,0.6784158155849467,234,Manhattan,781647,Jorin,1,2019-06-03,40.80523,-73.95139,Cool & Spacious Harlem Artist Flat, Harlem,42,50.4,0.44,entire place,198.0,4.285044754587149,2018-11-28
94,164989,0.6901843425836004,221,Manhattan,69439,Jade,1,2019-06-16,40.72351,-73.99683,"*SoHo: Clean, Safe, Private, Peaceful Bedroom (A)*", SoHo,54,64.8,0.56,Private Room,140.0,3.590261029519489,2018-12-11
95,165461,0.6799128106473326,201,Manhattan,867225,Rahul,1,2019-01-01,40.80525,-73.95916,Couldn't Be Closer To Columbia Uni2, Morningside Heights,57,68.39999999999999,0.59,Private Room,75.0,3.2720920787473133,2018-06-28
96,166172,0.6692703628357336,0,Brooklyn,792159,Wanda,1,2019-07-07,40.70283,-73.92130999999998,LG Private Room/Family Friendly, Bushwick,480,576.0,6.7,Private Room,60.0,4.002323932662957,2019-01-01
97,167482,0.6697554691674075,14,Manhattan,789257,Barbara,1,2019-06-07,40.77886,-73.98042,Charming upper west side apartment, Upper West Side,129,154.79999999999995,1.33,entire place,185.0,3.474277785499561,2018-12-02
98,168084,0.6983117923514786,27,Manhattan,800982,Chris,1,2019-06-30,40.72578,-73.97879,Light-filled East Village Delight, East Village,147,176.4,1.6,entire place,190.0,4.273644914456408,2018-12-25
99,168123,0.7172664377608453,167,Brooklyn,720558,Sara,1,2019-07-01,40.66085,-73.98536999999997,"Sunny, quiet, legal homelike suite-Pk Slope South", South Slope,101,121.2,1.06,entire place,105.0,3.0906512081759847,2018-12-26
100,169483,0.0,0,Brooklyn,807642,Jeffrey,0,,40.60452,-73.97103,Very close to Downtown Awesome Private Apartment, Gravesend,0,0.0,0.0,entire place,106.0,,2018-05-08
101,173072,0.7754632925074131,248,Manhattan,826192,Lewis,1,2019-07-06,40.80827,-73.95329,Cozy Pre-War Harlem Apartment, Harlem,168,201.6,4.6,Shared Room,49.0,3.32427885239393,2018-12-31
102,174527,0.6934152363616949,0,Brooklyn,833926,Kris,1,2018-10-28,40.69055,-73.92357,Cozy private family home in Bushwick, Bushwick,11,13.2,0.46,entire place,150.0,3.0469374045495865,2018-04-24
103,176135,0.7459890099232818,193,Brooklyn,842125,Jennifer,1,2018-10-23,40.67505,-73.95969000000002,Cosy Sunny 1brm in Prospect Heights, Crown Heights,31,37.2,0.32,entire place,97.0,4.205593533891458,2018-04-19
104,176962,0.9109535149284972,25,Brooklyn,846309,Dani,1,2019-04-13,40.70925,-73.95425,Williamsburg Home Away From Home!, Williamsburg,23,27.6,0.24,entire place,179.0,4.977937583168629,2018-10-08
105,182095,0.7199315685923265,89,Manhattan,872805,Mike,1,2019-04-29,40.73631,-73.99977,Historic classic central cozy Village clean NYU, West Village,66,79.2,0.69,entire place,199.0,4.24854282659066,2018-10-24
106,182649,0.6520644401238729,37,Brooklyn,876054,Obed,1,2019-06-18,40.71312,-73.96199,Williamsburg bedroom by Bedford Ave, Williamsburg,227,272.4,2.4,Private Room,70.0,3.617157232002848,2018-12-13
107,189787,0.6554542185550083,56,Brooklyn,915640,Sundiata,1,2019-06-30,40.66788,-73.94813,Spacious & Comfy BK Brownstone, Crown Heights,90,108.0,0.94,entire place,99.0,3.413825134453042,2018-12-25
108,193393,0.6459147379882031,65,Queens,938056,Mike,1,2019-06-25,40.74249,-73.92466,"Spacious, Kid-Friendly, and 15-20 Mins. to Midtown", Sunnyside,160,192.0,1.68,Private Room,75.0,4.257013554823532,2018-12-20
109,193853,0.6546059807205988,0,Manhattan,48599,Anastasia,1,2018-05-21,40.74033,-74.00024,Quiet Chelsea Studio w/Charm, Chelsea,23,27.6,0.27,entire place,149.0,3.8642490059975465,2017-11-15
110,199312,0.7128844518743008,254,Brooklyn,973438,Susanne,1,2019-06-24,40.71137,-73.94362,Sunny Space in Williamsburg, Williamsburg,273,327.6,2.85,Private Room,100.0,4.209628824350708,2018-12-19
111,200645,0.0,0,Manhattan,933378,Edo,0,,40.76739,-73.9557,Best Manhattan Studio Deal!   , Upper East Side,0,0.0,0.0,Shared Room,90.0,,2018-05-28
112,203901,0.7867095874160891,0,Manhattan,1000477,Elizabeth,1,2016-09-18,40.7694,-73.9572,Beautiful UES apartment, Upper East Side,8,9.6,0.08,entire place,190.0,3.919586637326893,2016-03-15
113,205735,0.7702759568611841,286,Brooklyn,1011426,Danielle,1,2019-04-30,40.68364,-73.91076,"A Cozy Oasis in Bushwick, NY", Bushwick,55,66.0,0.59,Private Room,41.0,3.8659699764857183,2018-10-25
114,206071,0.7060322186642413,276,Bronx,12221,Lori,1,2019-06-25,40.82802,-73.92039,Yankee Stadium Oasis 2 stops to Manhattan!, Concourse Village,258,309.6,2.7,Private Room,50.0,3.466872854025151,2018-12-20
115,206316,0.6592642815555871,0,Brooklyn,1014639,Brett,1,2018-08-27,40.68765,-73.97073,"Sunny, Spacious Studio in Ft.Greene", Fort Greene,4,4.8,0.18,entire place,157.0,3.976155012281264,2018-02-21
116,208889,0.7790789707388094,11,Brooklyn,1029021,Jameelah,1,2019-06-24,40.69025,-73.93323000000002,Welcome to Brooklyn! Bed-Stuy, Bedford-Stuyvesant,30,36.0,0.32,entire place,145.0,3.1404549107341726,2018-12-19
117,213330,0.7572504534149447,0,Manhattan,800223,Nader,1,2018-08-29,40.71712,-73.98898,RARE Penthouse Oasis featured on DesignSponge, Lower East Side,25,30.0,0.49,Private Room,200.0,3.992949903764085,2018-02-23
118,219066,0.6648626947515676,183,Brooklyn,447754,Yana,1,2019-01-19,40.61922,-73.99399,"Wonderful Studio In Brooklyn, NY!!!", Bensonhurst,24,28.8,0.26,entire place,110.0,3.2690593472526563,2018-07-16
119,220563,0.8558969749494487,0,Brooklyn,918087,Kestrel,1,2017-01-05,40.68634,-73.95088,Lovely HUGE Master Bed + Study, Bedford-Stuyvesant,59,70.8,0.62,Private Room,75.0,4.648964197104328,2016-07-02
120,221618,0.6733959922933039,90,Manhattan,4887492,Gershwyn,1,2019-05-21,40.71193,-74.00816999999998,Gorgeous PermaGO Private Room in FiDi - 1/2, Tribeca,82,98.4,0.87,Private Room,70.0,4.296623807184036,2018-11-15
121,222054,0.7529152879291809,342,Brooklyn,22486,Lisel,1,2018-09-15,40.68012,-73.97847,CBG Helps Haiti Rm #3, Park Slope,23,27.6,0.24,Private Room,120.0,4.194818546322226,2018-03-12
122,222304,0.7856957905958821,28,Manhattan,1153993,Anton,1,2019-05-08,40.74233,-73.99865,BEST DEAL IN CHELSEA 1 bdrm NYC, Chelsea,32,38.4,0.34,entire place,199.0,4.406263234027109,2018-11-02
123,224006,0.7885706836022723,83,Manhattan,1165231,Deirdre,1,2015-01-02,40.80307,-73.95048,Harlem/Manhattan Classic Apartment, Harlem,6,7.1999999999999975,0.08,Private Room,300.0,3.3285417951194614,2014-06-29
124,225306,0.7794901428976617,264,Brooklyn,1112560,Mary,1,2019-07-05,40.68749,-73.95494000000002,Charming room in Victorian home, Bedford-Stuyvesant,115,138.0,1.21,Private Room,79.0,3.419304610403876,2018-12-30
